station,type,numof.routes,lat,long,routelist,HRA_name,geometry
Metro Stop,KC Metro,4,47.57707424,-122.1695314,240 241 245 246,Bellevue - Central,"c(-122.169531394957, 47.5770742417452)"
Metro Stop,KC Metro,1,47.57749972,-122.136769,271,Bellevue - Central,"c(-122.136768986265, 47.5774997241553)"
Metro Stop,KC Metro,1,47.46579001,-122.2234599,153,Renton - South,"c(-122.223459917459, 47.4657900078967)"
Metro Stop,KC Metro,2,47.58670541,-122.1904237,550E 556E,Bellevue - West,"c(-122.190423733744, 47.5867054133383)"
Metro Stop,KC Metro,2,47.58695909,-122.1905803,241 249,Bellevue - West,"c(-122.190580302693, 47.586959091785)"
Metro Stop,KC Metro,2,47.61366274,-122.193945,240 342,Bellevue - West,"c(-122.193945017388, 47.6136627434732)"
Metro Stop,KC Metro,1,47.35041355,-122.0192423,907,Maple Valley,"c(-122.019242296714, 47.3504135540251)"
Metro Stop,KC Metro,1,47.43617013,-122.0636735,907,"East Highlands, Hobart, and Greater Maple Valley","c(-122.063673511789, 47.4361701347256)"
Metro Stop,KC Metro,1,47.46601446,-122.1426249,907,Renton - North,"c(-122.142624928231, 47.4660144589769)"
Metro Stop,KC Metro,1,47.46510747,-122.1370264,907,Renton - North,"c(-122.137026385402, 47.4651074678382)"
Metro Stop,KC Metro,1,47.46339305,-122.1250803,907,Renton - North,"c(-122.125080333402, 47.4633930452729)"
Metro Stop,KC Metro,1,47.46543919,-122.1381992,907,"East Highlands, Hobart, and Greater Maple Valley","c(-122.138199166042, 47.4654391909917)"
Metro Stop,KC Metro,1,47.46621091,-122.1429695,907,Renton - North,"c(-122.142969506822, 47.4662109146118)"
Metro Stop,KC Metro,1,47.46321568,-122.1117132,907,"East Highlands, Hobart, and Greater Maple Valley","c(-122.111713204914, 47.4632156786437)"
Metro Stop,KC Metro,1,47.74511514,-122.3525797,330,Shoreline,"c(-122.352579691359, 47.7451151440324)"
Metro Stop,KC Metro,2,47.77185362,-122.3919267,302 348N,Shoreline,"c(-122.391926677233, 47.771853624889)"
Metro Stop,KC Metro,3,47.77374172,-122.3461981,301 342 E,Shoreline,"c(-122.346198133088, 47.7737417153972)"
Metro Stop,KC Metro,4,47.76720235,-122.3460928,301 304 342 E,Shoreline,"c(-122.346092836713, 47.7672023458352)"
Metro Stop,KC Metro,1,47.76317598,-122.344914,348,Shoreline,"c(-122.34491400503, 47.7631759831486)"
Metro Stop,KC Metro,1,47.76023802,-122.2021642,239,Bothell and Woodinville,"c(-122.202164184856, 47.7602380171991)"
Metro Stop,KC Metro,2,47.76792352,-122.1912193,230 522E,Bothell and Woodinville,"c(-122.19121931254, 47.7679235233301)"
Metro Stop,KC Metro,1,47.75946397,-122.1999683,372E,Bothell and Woodinville,"c(-122.199968269067, 47.7594639737735)"
Metro Stop,KC Metro,3,47.7639887,-122.1935848,230 239 372E,Bothell and Woodinville,"c(-122.193584809147, 47.7639886991101)"
