FEATUREDES,NAME,ZIPCODE,LONG_CEN,LAT_CEN,DISTRICT,lat,long,HRA_name,geometry
School-Elementary,North Bend Elementary School,98045,-121.7792679,47.49404147,SNOQUALMIE VALLEY,-121.7792662,47.49404415,Snoqualmie and North Bend,"c(-121.779266208842, 47.4940441524869)"
School-High,Renton High School,98057,-122.2118908,47.48174404,RENTON,-122.2118885,47.48174608,Renton - North,"c(-122.211888511058, 47.4817460779655)"
School-College or University,University of Washington-HUB,98195,-122.3053138,47.65525523,SEATTLE,-122.3053123,47.65525707,Seattle - University District,"c(-122.305312281419, 47.655257071446)"
School-College or University,University of Washington,98195,-122.3053098,47.65525802,SEATTLE,-122.3053083,47.65525986,Seattle - University District,"c(-122.305308302219, 47.6552598648592)"
School-Other Facility,Stadium/Athletic Office,98109,-122.3498833,47.62286856,SEATTLE,-122.3498816,47.62287034,Seattle - Queen Anne,"c(-122.349881616183, 47.6228703386624)"
School-Alternative,Middle College High School at North Seattle College,98103,-122.3344228,47.70109481,SEATTLE,-122.3344215,47.70109658,Seattle - Northgate and Lake City,"c(-122.334421493397, 47.7010965841587)"
School-Other Facility,Highline Performing Arts Center,98148,-122.3286237,47.46653449,HIGHLINE,-122.3286213,47.46653634,Burien,"c(-122.328621302922, 47.4665363379499)"
School-High,West Auburn High School,98001,-122.2347618,47.30818456,AUBURN,-122.2347585,47.30818654,Auburn - North,"c(-122.234758511371, 47.3081865398868)"
School-Other Facility,Camp Waskowitz,98045,-121.7338233,47.46947301,SNOQUALMIE VALLEY,-121.7338218,47.46947535,"Duvall, Carnation, Skykomish, and Northeast King County","c(-121.733821804751, 47.4694753536614)"
School-Junior High/Middle,Showalter Middle School,98168,-122.2749594,47.47482688,TUKWILA,-122.2749571,47.4748288,Tukwila,"c(-122.274957070989, 47.4748287965752)"
School-Elementary,Cougar Ridge Elementary School,98006,-122.1174072,47.56193584,ISSAQUAH,-122.1174053,47.56193807,Bellevue - South,"c(-122.117405323776, 47.5619380716105)"
School-Other Facility,Administration Center-Tukwila,98168,-122.2740886,47.4743389,TUKWILA,-122.2740862,47.47434082,Tukwila,"c(-122.274086217558, 47.4743408165284)"
School-Elementary,The Meridian School,98103,-122.3315236,47.66346581,SEATTLE,-122.3315221,47.66346761,Fremont and Wallingford,"c(-122.33152207983, 47.6634676070297)"
School-Junior High/Middle,Twin Falls Middle School,98045,-121.7147438,47.47362566,SNOQUALMIE VALLEY,-121.7147425,47.47362797,"Duvall, Carnation, Skykomish, and Northeast King County","c(-121.714742500693, 47.4736279726519)"
School-High,Forest Ridge School of the Sacred Heart,98006,-122.1553701,47.55898921,BELLEVUE,-122.1553682,47.55899136,Bellevue - South,"c(-122.155368173841, 47.5589913648034)"
School-Junior High/Middle,Forest Ridge School of the Sacred Heart,98006,-122.1558796,47.5591149,BELLEVUE,-122.1558777,47.55911705,Bellevue - South,"c(-122.155877696009, 47.5591170488849)"
School-Alternative,KapKa Cooperative School,98103,-122.3523012,47.66449091,SEATTLE,-122.3522997,47.66449266,Fremont and Wallingford,"c(-122.352299712913, 47.6644926622015)"
School-Elementary,Carnation Elementary School,98014,-121.911209,47.65150946,RIVERVIEW,-121.9112077,47.65151193,"Duvall, Carnation, Skykomish, and Northeast King County","c(-121.911207694634, 47.6515119327242)"
School-High,Auburn Adventist Academy High School,98092,-122.1621637,47.28078071,AUBURN,-122.1621603,47.28078285,Auburn - South,"c(-122.162160285651, 47.2807828509646)"
